[0.65,	 0.3217, 	 0.0]	 id=116



[1.4260,	 1.3043, 	 0.2]	 id=2
[1.200,	 0.4036, 	 0.0]	 id=3
[0.4819,	 1.4502, 	 0.3]	 id=4
[0.681,	 0.1046, 	 0.0]	 id=5
[1.9805,	 0.5682, 	 0.10]	 id=6
[1.9367,	 0.7477, 	 0.6]	 id=7
[2.4057,	 0.3233, 	 0.1]	 id=8
[3.1857,	 -1.5125, 	 0.10]	 id=9
[4.5491,	 0.9517, 	 0.7]	 id=10
[4.9432,	 -1.663, 	 0.70]	 id=11
[2.7321,	 0.2744, 	 0.14]	 id=12
[1.7982,	 0.1370, 	 0.5]	 id=13
[2.4053,	 0.3947, 	 0.14]	 id=14
[2.2654,	 0.384, 	 0.0]	 id=15
[2.7822,	 0.1201, 	 0.10]	 id=16
[3.5921,	 3.1877, 	 0.53]	 id=17
[2.5569,	 -1.6972, 	 0.28]	 id=18
[3.208,	 0.6914, 	 0.9]	 id=19
[1.3003,	 0.6347, 	 0.2]	 id=20
[1.2411,	 0.61, 	 0.2]	 id=21
[2.7318,	 0.5651, 	 0.12]	 id=22
[2.6350,	 1.2380, 	 0.6]	 id=23
[2.2030,	 0.945, 	 0.2]	 id=24
[1.9462,	 1.193, 	 0.7]	 id=25
[1.313,	 0.1293, 	 0.4]	 id=26
[2.4679,	 1.5305, 	 0.6]	 id=27
[1.7046,	 -1.6208, 	 0.16]	 id=28
[3.6160,	 0.7444, 	 0.5]	 id=29
[2.329,	 0.4814, 	 0.1]	 id=30
[2.1258,	 0.3075, 	 0.3]	 id=31
[0.8498,	 0.2288, 	 0.0]	 id=32
[1.7899,	 0.1457, 	 0.7]	 id=33
[2.1675,	 0.2385, 	 0.1]	 id=34
[0.1899,	 0.597, 	 0.0]	 id=35
[0.1271,	 0.1303, 	 0.0]	 id=36
[0.500,	 0.420, 	 0.0]	 id=37
[0.271,	 0.294, 	 0.0]	 id=38
[0.2724,	 0.1188, 	 0.0]	 id=39
[0.387,	 0.2154, 	 0.0]	 id=40
[0.19,	 0.204, 	 0.0]	 id=41
[0.2409,	 0.994, 	 0.0]	 id=42
[1.6010,	 0.6165, 	 0.15]	 id=43
[0.4194,	 0.1006, 	 0.0]	 id=44
[0.2556,	 0.6982, 	 0.29]	 id=45
[0.2304,	 0.1331, 	 0.7]	 id=46
[0.4412,	 0.3921, 	 0.31]	 id=47
[0.3473,	 -1.4564, 	 0.137]	 id=48
[0.8965,	 0.2594, 	 0.62]	 id=49
[0.4207,	 0.2127, 	 0.98]	 id=50
[0.3498,	 0.8171, 	 0.26]	 id=51
[1.2428,	 1.778, 	 0.62]	 id=52
[0.2155,	 0.4616, 	 0.44]	 id=53
[0.5814,	 0.2348, 	 0.64]	 id=54
[0.5079,	 0.6494, 	 0.63]	 id=55
[0.4722,	 0.7869, 	 0.73]	 id=56
[1.5598,	 0.7353, 	 0.75]	 id=57
[0.6518,	 1.1107, 	 0.22]	 id=58
[0.1644,	 0.5735, 	 0.24]	 id=59
[0.2696,	 0.6682, 	 0.10]	 id=60
[0.2493,	 0.474, 	 0.24]	 id=61
[0.1907,	 0.4361, 	 0.7]	 id=62
[0.469,	 0.1425, 	 0.0]	 id=63
[0.944,	 0.503, 	 0.0]	 id=64
[0.372,	 0.7478, 	 0.6]	 id=65
[0.3736,	 0.1736, 	 0.0]	 id=66
[0.9038,	 0.99, 	 0.0]	 id=67
[0.1918,	 0.135, 	 0.0]	 id=68
[0.7950,	 -1.5808, 	 0.19]	 id=69
[2.8659,	 0.8402, 	 0.9]	 id=70
[2.3649,	 0.5676, 	 0.10]	 id=71
[1.6676,	 0.4978, 	 0.8]	 id=72
[2.3228,	 0.267, 	 0.3]	 id=73
[2.5132,	 2.4146, 	 0.27]	 id=74
[0.6536,	 0.4833, 	 0.0]	 id=75
[0.9559,	 -1.4644, 	 0.17]	 id=76
[0.9618,	 0.132, 	 0.1]	 id=77
[0.4323,	 0.466, 	 0.0]	 id=78
[0.2384,	 0.7636, 	 0.5]	 id=79
[0.1503,	 0.1383, 	 0.0]	 id=80
[1.4690,	 0.7036, 	 0.5]	 id=81
[2.1221,	 0.3999, 	 0.5]	 id=82
[1.5246,	 0.4865, 	 0.3]	 id=83
[1.2020,	 0.5619, 	 0.5]	 id=84
[0.4871,	 0.832, 	 0.0]	 id=85
